name,type,website,contact_page,best_angle,status,notes
"North Coast Journal","local publication","https://www.northcoastjournal.com/","https://www.northcoastjournal.com/humboldt/ContactUs/Page","founder story, health/wellness article, small local business angle, possible ad later","not contacted","Strong local publication; possible angle: Eureka-based retired practitioner/programmer builds simple software for small clinics."
"Lost Coast Outpost / LoCO Lowdown","local news and events calendar","https://lostcoastoutpost.com/","https://lostcoastoutpost.com/lowdown/events/submit/","submit free workshop or educational event","not contacted","Good for event visibility if hosting a workshop such as Keeping Up With Visit Notes in a Small Practice."
"Humboldt Holistic Directory / Moonrise Herbs","holistic directory","https://www.moonriseherbs.com/resources/humboldt-holistic-directory.html","https://www.moonriseherbs.com/contact.html","local holistic practitioner network, possible relationship/backlink","not contacted","Useful for finding local wellness practitioners and alternative-health contacts."
"KHSU Community Calendar","community calendar","https://www.khsu.org/community-calendar","https://www.khsu.org/community-calendar","submit useful local workshop or training","not contacted","Best used for educational sessions, not direct software promotion."
"Visit Redwoods Events","regional events calendar","https://www.visitredwoods.com/events/","https://www.visitredwoods.com/events/submit-your-event/","submit local public workshop if relevant","not contacted","Use only for real local events/workshops."
"At Home in Humboldt","local community/events website","https://athomeinhumboldt.com/","https://athomeinhumboldt.com/contact/","local wellness/business workshop visibility","not contacted","Potential local community visibility if offering a useful educational event."
"Arcata Healing Arts Center","practitioner hub","https://www.arcatahealingartscenter.com/","https://www.arcatahealingartscenter.com/contact","ask for practitioner feedback on useful article, possible workshop relationship","not contacted","Healing arts community hub; approach gently and personally."
"Sanctuary Community Acupuncture","local acupuncture clinic","https://www.humboldtcommunityacupuncture.com/","https://www.humboldtcommunityacupuncture.com/contact","article feedback from acupuncture practitioners","not contacted","Do not pitch hard; ask whether visit note/documentation articles feel accurate."
"Community Acupuncture Clinic of Eureka","local acupuncture clinic","https://thecommunityacupunctureclinic.com/","https://thecommunityacupunctureclinic.com/contact","local practitioner feedback, acupuncture documentation article","not contacted","Good fit for feedback on Acupuncture Notes That Stay Useful."
"North Coast Naturopathic Medicine","integrative healthcare clinic","https://www.ncnatmed.com/","https://www.ncnatmed.com/contact","small clinic workflow/documentation feedback","not contacted","Integrative clinic; possible feedback source for documentation/follow-up workflow."
